bike_name,price,city,kms_driven,owner,age,power,brand,,,,
Bajaj  Pulsar 180cc,35000,Ahmedabad,17654,First Owner,3,110,TVS,,,,
Bajaj  Pulsar 180cc,119900,Delhi,11000,First Owner,4,350,Royal Enfield,,,,
Bajaj  Pulsar 180cc,600000,Delhi,110,First Owner,8,675,Triumph,,,,
Bajaj  Pulsar 180cc,65000,Bangalore,16329,First Owner,4,180,TVS,,,,
Bajaj  Pulsar 180cc,80000,Bangalore,10000,First Owner,3,150,Yamaha,,,,
Bajaj  Pulsar 180cc,53499,Delhi,25000,First Owner,6,150,Yamaha,,,,
Bajaj  Pulsar 180cc,85000,Delhi,8200,First Owner,3,160,Honda,,,,
Bajaj  Pulsar 180cc,45000,Delhi,12645,First Owner,3,100,Hero,,,,
Bajaj  Pulsar 180cc,145000,Bangalore,9190,First Owner,3,350,Royal Enfield,,,,
Bajaj  Pulsar 180cc,88000,Delhi,19000,Second Owner,7,500,Royal Enfield,,,Row Labels,Count of bike_name
Bajaj  Pulsar 180cc,72000,Bangalore,20000,First Owner,7,150,Yamaha,,,Bajaj  Pulsar 180cc,25
Bajaj  Pulsar 180cc,95000,Bangalore,9665,First Owner,4,250,Yamaha,,,Bajaj Avenger 220cc,2043
Bajaj  Pulsar 180cc,78000,Bangalore,9900,First Owner,4,200,Bajaj,,,Bajaj Avenger Cruise 220,70
Bajaj  Pulsar 180cc,29499,Delhi,20000,First Owner,8,100,Bajaj,,,Bajaj Avenger Street 150,148
Bajaj  Pulsar 180cc,29900,Delhi,20000,First Owner,7,125,Bajaj,,,Bajaj Avenger Street 220,2503
Bajaj  Pulsar 180cc,90000,Bangalore,11574,First Owner,3,200,Bajaj,,,Bajaj CT 100 100cc,78
Bajaj  Pulsar 180cc,120000,Bangalore,23000,First Owner,3,200,Bajaj,,,Bajaj Discover 100cc,77
Bajaj  Pulsar 180cc,48000,Mumbai,24725,First Owner,5,150,Suzuki,,,Bajaj Discover 100M,31
Bajaj  Pulsar 180cc,240000,Mumbai,15025,Second Owner,3,302,Benelli,,,Bajaj Discover 125cc,104
Bajaj  Pulsar 180cc,29900,Delhi,20000,First Owner,7,125,Bajaj,,,Bajaj Discover 125M,17
Bajaj  Pulsar 180cc,120000,Bangalore,23000,First Owner,3,200,Bajaj,,,Bajaj Discover 125ST,35
Bajaj  Pulsar 180cc,48000,Mumbai,24725,First Owner,5,150,Suzuki,,,Bajaj Discover 135cc,46
Bajaj  Pulsar 180cc,46500,Delhi,3500,First Owner,2,110,Hero,,,Bajaj Discover 150cc,24
Bajaj  Pulsar 180cc,121700,Kalyan,24520,First Owner,5,500,Royal Enfield,,,Bajaj Dominar 400,27
Bajaj  Pulsar 180cc,45000,Delhi,23000,First Owner,6,150,Yamaha,,,Bajaj Dominar 400 ABS,687
Bajaj Avenger 220cc,179000,Bangalore,3400,First Owner,2,200,KTM,,,Bajaj Platina  Alloy ES-100cc,32
Bajaj Avenger 220cc,70000,Nadiad,45000,First Owner,8,350,Royal Enfield,,,Bajaj Platina 100cc,677
Bajaj Avenger 220cc,45000,Hyderabad,36100,First Owner,6,220,Bajaj,,,Bajaj Pulsar 135LS,78
Bajaj Avenger 220cc,78000,Lucknow,8500,First Owner,13,350,Royal Enfield,,,Bajaj Pulsar 150cc,2735
Bajaj Avenger 220cc,110000,Bangalore,2550,First Owner,2,220,Bajaj,,,Bajaj Pulsar 180cc,93
Bajaj Avenger 220cc,85000,Delhi,18000,First Owner,6,350,Royal Enfield,,,Bajaj Pulsar 200 NS 200cc,31
Bajaj Avenger 220cc,38000,Delhi,35000,First Owner,9,200,Bajaj,,,Bajaj Pulsar 220cc,98
Bajaj Avenger 220cc,55346,Noida,38000,First Owner,10,350,Royal Enfield,,,Bajaj Pulsar 220F,68
Bajaj Avenger 220cc,28000,Jaipur,45000,First Owner,2,110,Mahindra,,,Bajaj Pulsar AS150,38
Bajaj Avenger 220cc,37000,Mumbai,10800,First Owner,8,150,Hero,,,Bajaj Pulsar AS200,30
Bajaj Avenger 220cc,97000,Delhi,4400,First Owner,3,150,Suzuki,,,Bajaj Pulsar NS160,22
Bajaj Avenger 220cc,40000,Karnal,357000,First Owner,8,150,Yamaha,,,Bajaj Pulsar NS200,708
Bajaj Avenger 220cc,90000,Delhi,15300,First Owner,7,350,Royal Enfield,,,Bajaj Pulsar RS200,80
Bajaj Avenger 220cc,60000,Mumbai,30000,First Owner,5,160,TVS,,,Bajaj Pulsar RS200 ABS,123
Bajaj Avenger 220cc,21900,Gorakhpur,30000,Second Owner,7,125,Honda,,,Bajaj V15 150cc,159
Bajaj Avenger 220cc,40000,Ahmedabad,64000,First Owner,7,220,Bajaj,,,Benelli TNT 300,22
Bajaj Avenger 220cc,475000,Mumbai,11500,Second Owner,3,600,Benelli,,,Harley-Davidson Iron 883,27
Bajaj Avenger 220cc,34500,Ahmedabad,17056,First Owner,5,110,Honda,,,Harley-Davidson Street 750,66
Bajaj Avenger 220cc,25000,Vidisha,172082,First Owner,9,150,Yamaha,,,Harley-Davidson Street 750 ABS,631
Bajaj Avenger 220cc,30200,Bangalore,45000,First Owner,7,150,Suzuki,,,Hero CBZ Xtreme 150cc,686
Bajaj Avenger 220cc,65000,Hosur,35000,First Owner,5,220,Bajaj,,,Hero CD Deluxe 100cc,693
Bajaj Avenger 220cc,25000,Mumbai,38000,First Owner,9,150,Bajaj,,,Hero Glamour 125cc,37
Bajaj Avenger 220cc,935000,Bagalkot,2500,First Owner,2,900,Kawasaki,,,Hero HF Deluxe 100cc,101
Bajaj Avenger 220cc,107100,Delhi,15438,Second Owner,3,350,Royal Enfield,,,Hero Hunk 150cc,38
Bajaj Avenger 220cc,80000,Delhi,6000,First Owner,3,220,Bajaj,,,Hero Hunk Rear Disc 150cc,619
Bajaj Avenger 220cc,88000,Delhi,19000,First Owner,5,350,Royal Enfield,,,Hero Ignitor 125cc,30
Bajaj Avenger 220cc,94700,Baripara,32700,First Owner,4,200,KTM,,,Hero Karizma R 223cc,56
Bajaj Avenger 220cc,12200,Agra,46643,First Owner,14,100,Hero,,,Hero Karizma ZMR 223cc,37
Bajaj Avenger 220cc,106000,Delhi,19000,First Owner,6,350,Royal Enfield,,,Hero Passion 100cc,1238
Bajaj Avenger 220cc,29500,Hyderabad,40700,First Owner,12,220,Bajaj,,,Hero Passion Plus 100cc,79
Bajaj Avenger 220cc,290000,Dharwad,11350,First Owner,7,650,Kawasaki,,,Hero Passion Pro 100cc,1432
Bajaj Avenger 220cc,110000,Delhi,1600,First Owner,6,350,Royal Enfield,,,Hero Passion Pro i3S Alloy 100cc,24
Bajaj Avenger 220cc,27000,Vadodara,44410,First Owner,10,125,Bajaj,,,Hero Passion Xpro 110cc,51
Bajaj Avenger 220cc,65000,Jalandhar,9800,First Owner,11,350,Royal Enfield,,,Hero Splendor 100cc,32
Bajaj Avenger 220cc,150000,Bangalore,15000,First Owner,3,350,Royal Enfield,,,Hero Splendor iSmart 100cc,24
Bajaj Avenger 220cc,55786,Surat,68000,Second Owner,7,223,Hero,,,Hero Splendor iSmart 110cc,43
Bajaj Avenger 220cc,45000,Bangalore,17757,First Owner,8,180,Bajaj,,,Hero Splendor plus 100cc,198
