SR NO.,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price,,,,,,,,
1,Datsun Go,08-Jul-05,67429,1,PETROL,TS-10,Manual,HatchBack,300000,,,,,,,,
2,Datsun Go,09-Jul-05,50602,1,PETROL,TS-08,Manual,HatchBack,310000,,,,,,,,
3,Datsun Go,06-Jul-05,66599,1,PETROL,KL-01,Manual,HatchBack,195000,,,,,,,,
4,Datsun Go,11-Jul-05,46116,2,PETROL,TN-85,Manual,HatchBack,436000,,,,,,,Row Labels,Count of Car Name
5,Datsun Go,09-Jul-05,30774,2,PETROL,KA-05,Manual,HatchBack,302000,,,,,,,Datsun Go,15
6,Datsun Go,11-Jul-05,25591,1,PETROL,MP-41,Manual,HatchBack,420000,,,,,,,Datsun Go Plus,20
7,Datsun Go,08-Jul-05,42285,1,PETROL,BR-01,Manual,HatchBack,203000,,,,,,,Datsun Redi Go,76
8,Datsun Go,08-Jul-05,47323,1,PETROL,KL-45,Manual,HatchBack,212000,,,,,,,Ford Ecosport,129
9,Datsun Go,06-Jul-05,62884,1,PETROL,WB-24,Manual,HatchBack,179000,,,,,,,Ford FREESTYLE,32
10,Datsun Go,09-Jul-05,85298,1,PETROL,TS-08,Manual,HatchBack,316000,,,,,,,Honda Amaze,206
11,Datsun Go,06-Jul-05,18499,1,PETROL,MH-01,Manual,HatchBack,250000,,,,,,,Honda Brio,85
12,Datsun Go,10-Jul-05,21714,1,PETROL,GJ-05,Manual,HatchBack,316000,,,,,,,Honda City,301
13,Datsun Go,10-Jul-05,38360,1,PETROL,TN-14,Manual,HatchBack,386000,,,,,,,Honda Jazz,101
14,Datsun Go,11-Jul-05,85674,1,PETROL,TN-77,Manual,HatchBack,408000,,,,,,,Honda WR-V,93
15,Datsun Go,12-Jul-05,38170,1,PETROL,TN-33,Automatic,HatchBack,563000,,,,,,,Hyundai AURA,33
16,Datsun Go Plus,10-Jul-05,44386,1,PETROL,TN-45,Manual,HatchBack,429000,,,,,,,Hyundai Creta,138
17,Datsun Go Plus,10-Jul-05,23154,1,PETROL,TN-56,Manual,HatchBack,414000,,,,,,,Hyundai Elite i20,369
18,Datsun Go Plus,10-Jul-05,27977,1,PETROL,GJ-01,Manual,HatchBack,334000,,,,,,,Hyundai Eon,88
19,Datsun Go Plus,11-Jul-05,18254,2,PETROL,TN-59,Manual,HatchBack,449000,,,,,,,Hyundai Grand i10,430
20,Datsun Go Plus,10-Jul-05,12424,1,PETROL,GJ-27,Manual,HatchBack,329000,,,,,,,Hyundai GRAND I10 NIOS,80
21,Datsun Go Plus,11-Jul-05,23700,1,PETROL,TN-37,Manual,HatchBack,503000,,,,,,,Hyundai i10,178
22,Datsun Go Plus,09-Jul-05,6596,1,PETROL,MH-43,Manual,HatchBack,335000,,,,,,,Hyundai i20,93
23,Datsun Go Plus,11-Jul-05,47592,1,PETROL,GJ-02,Manual,HatchBack,371000,,,,,,,Hyundai i20 Active,23
24,Datsun Go Plus,13-Jul-05,45062,1,PETROL,BR-06,Manual,HatchBack,583000,,,,,,,Hyundai New Elantra,18
25,Datsun Go Plus,08-Jul-05,52642,1,PETROL,TN-14,Manual,HatchBack,343000,,,,,,,Hyundai NEW I20,41
26,Datsun Go Plus,07-Jul-05,82962,1,PETROL,TN-40,Manual,HatchBack,309000,,,,,,,Hyundai NEW SANTRO,119
27,Datsun Go Plus,10-Jul-05,44225,1,CNG,DL-14,Manual,HatchBack,362000,,,,,,,Hyundai Santro Xing,29
28,Datsun Go Plus,10-Jul-05,12169,1,PETROL,TN-05,Manual,HatchBack,453000,,,,,,,Hyundai VENUE,72
29,Datsun Go Plus,10-Jul-05,29855,1,PETROL,MH-05,Manual,HatchBack,393000,,,,,,,Hyundai Verna,146
30,Datsun Go Plus,13-Jul-05,48957,1,PETROL,TS-25,Manual,HatchBack,584000,,,,,,,Hyundai Xcent,52
31,Datsun Go Plus,12-Jul-05,23221,1,PETROL,MH-29,Manual,HatchBack,502000,,,,,,,KIA SELTOS,40
32,Datsun Go Plus,13-Jul-05,10512,1,PETROL,UP-32,Manual,HatchBack,541000,,,,,,,KIA SONET,21
33,Datsun Go Plus,11-Jul-05,19068,1,PETROL,DL-3C,Manual,HatchBack,469000,,,,,,,Mahindra KUV 100 NXT,16
34,Datsun Go Plus,11-Jul-05,24895,1,PETROL,KA-05,Manual,HatchBack,501000,,,,,,,Mahindra Thar,15
35,Datsun Go Plus,10-Jul-05,15832,1,PETROL,MH-48,Manual,HatchBack,378000,,,,,,,Mahindra XUV 3OO,20
36,Datsun Redi Go,08-Jul-05,37488,1,PETROL,CH-01,Manual,HatchBack,205000,,,,,,,Mahindra XUV500,46
37,Datsun Redi Go,02-Jul-05,90382,2,PETROL,AP-23,Manual,HatchBack,205000,,,,,,,Maruti Alto,149
38,Datsun Redi Go,05-Jul-05,114653,1,PETROL,,Manual,Sedan,190000,,,,,,,Maruti Alto 800,215
39,Datsun Redi Go,09-Jul-05,115401,1,PETROL,,Manual,HatchBack,213000,,,,,,,Maruti Alto K10,162
40,Datsun Redi Go,13-Jul-05,3635,1,PETROL,PB-02,Manual,HatchBack,411000,,,,,,,Maruti Baleno,424
41,Datsun Redi Go,10-Jul-05,45531,1,PETROL,MH-04,Automatic,HatchBack,338000,,,,,,,Maruti Celerio,243
42,Datsun Redi Go,13-Jul-05,12199,1,PETROL,KL-08,Manual,HatchBack,415000,,,,,,,Maruti Celerio X,27
43,Datsun Redi Go,10-Jul-05,27522,2,PETROL,DL-14,Manual,HatchBack,254000,,,,,,,Maruti Ciaz,187
44,Datsun Redi Go,11-Jul-05,21541,1,PETROL,TN-03,Manual,HatchBack,322000,,,,,,,Maruti Dzire,179
45,Datsun Redi Go,08-Jul-05,31663,2,PETROL,KA-53,Manual,HatchBack,253000,,,,,,,Maruti Ertiga,42
46,Datsun Redi Go,12-Jul-05,17587,1,PETROL,RJ-02,Manual,HatchBack,387000,,,,,,,Maruti IGNIS,112
47,Datsun Redi Go,10-Jul-05,16494,1,PETROL,MH-04,Manual,HatchBack,238000,,,,,,,Maruti New Wagon-R,129
48,Datsun Redi Go,10-Jul-05,72869,2,PETROL,KA-19,Manual,HatchBack,269000,,,,,,,Maruti Ritz,49
49,Datsun Redi Go,10-Jul-05,38723,1,PETROL,GJ-19,Automatic,HatchBack,316000,,,,,,,Maruti S Cross,44
50,Datsun Redi Go,08-Jul-05,92449,1,PETROL,TN-07,Manual,HatchBack,276000,,,,,,,Maruti S PRESSO,101
51,Datsun Redi Go,09-Jul-05,76982,1,PETROL,GJ-06,Manual,HatchBack,247000,,,,,,,Maruti Swift,593
52,Datsun Redi Go,10-Jul-05,55547,2,PETROL,KA-19,Manual,HatchBack,275000,,,,,,,Maruti Swift Dzire,189
53,Datsun Redi Go,09-Jul-05,28545,1,PETROL,TS-07,Manual,HatchBack,314000,,,,,,,Maruti Vitara Brezza,120
54,Datsun Redi Go,10-Jul-05,30685,2,PETROL,KA-51,Manual,HatchBack,322000,,,,,,,Maruti Wagon R 1.0,336
55,Datsun Redi Go,08-Jul-05,10724,1,PETROL,MH-01,Manual,HatchBack,253000,,,,,,,Maruti XL6,16
56,Datsun Redi Go,09-Jul-05,32419,1,PETROL,TS-09,Manual,HatchBack,306000,,,,,,,Nissan MAGNITE,26
57,Datsun Redi Go,10-Jul-05,37399,1,PETROL,HR-51,Automatic,HatchBack,388000,,,,,,,Nissan Micra Active,18
58,Datsun Redi Go,09-Jul-05,29220,1,PETROL,PB-10,Manual,HatchBack,219000,,,,,,,Renault Duster,49
59,Datsun Redi Go,13-Jul-05,13454,1,PETROL,HR-51,Manual,HatchBack,362000,,,,,,,Renault Kiger,54
60,Datsun Redi Go,13-Jul-05,24021,1,PETROL,TS-11,Manual,HatchBack,477000,,,,,,,Renault Kwid,231
61,Datsun Redi Go,11-Jul-05,33615,1,PETROL,TN-65,Manual,HatchBack,327000,,,,,,,Renault TRIBER,43
62,Datsun Redi Go,09-Jul-05,32258,1,PETROL,KL-48,Manual,HatchBack,228000,,,,,,,Skoda Rapid,57
63,Datsun Redi Go,13-Jul-05,1415,2,PETROL,UP-32,Manual,HatchBack,375000,,,,,,,Tata ALTROZ,42
64,Datsun Redi Go,09-Jul-05,97628,2,PETROL,TS-07,Manual,HatchBack,224000,,,,,,,Tata NEXON,88
65,Datsun Redi Go,08-Jul-05,61126,1,PETROL,TN-01,Manual,HatchBack,270000,,,,,,,Tata Tiago,129
66,Datsun Redi Go,11-Jul-05,23072,1,PETROL,TN-06,Manual,HatchBack,326000,,,,,,,Tata TIGOR,40
67,Datsun Redi Go,12-Jul-05,40847,1,PETROL,BR-31,Automatic,HatchBack,407000,,,,,,,Toyota Corolla Altis,31
68,Datsun Redi Go,13-Jul-05,6573,1,PETROL,WB-08,Manual,HatchBack,364000,,,,,,,Toyota Etios,25
69,Datsun Redi Go,13-Jul-05,6227,1,PETROL,KL-05,Manual,HatchBack,358000,,,,,,,Toyota Etios Liva,22
70,Datsun Redi Go,09-Jul-05,36667,2,PETROL,GJ-27,Manual,HatchBack,212000,,,,,,,Toyota Glanza,17
71,Datsun Redi Go,13-Jul-05,9618,1,PETROL,RJ-45,Manual,HatchBack,370000,,,,,,,Toyota YARIS,50
72,Datsun Redi Go,10-Jul-05,34102,1,PETROL,TS-09,Automatic,HatchBack,324000,,,,,,,Volkswagen Ameo,33
73,Datsun Redi Go,10-Jul-05,67478,2,PETROL,KL-07,Manual,HatchBack,220000,,,,,,,Volkswagen Polo,78
74,Datsun Redi Go,08-Jul-05,60228,1,PETROL,TN-05,Manual,HatchBack,271000,,,,,,,Volkswagen Vento,53
75,Datsun Redi Go,13-Jul-05,18569,1,PETROL,TS-08,Manual,HatchBack,470000,,,,,,,(blank),
76,Datsun Redi Go,10-Jul-05,30402,2,PETROL,UP-14,Automatic,HatchBack,350000,,,,,,,Grand Total,7528
77,Datsun Redi Go,10-Jul-05,106824,1,PETROL,,Manual,HatchBack,247000,,,,,,,,
78,Datsun Redi Go,12-Jul-05,11131,1,PETROL,KL-33,Automatic,HatchBack,436000,,,,,,,,
79,Datsun Redi Go,10-Jul-05,4909,2,PETROL,HR-51,Automatic,HatchBack,412000,,,,,,,,
80,Datsun Redi Go,10-Jul-05,46291,1,PETROL,MH-14,Manual,HatchBack,289000,,,,,,,,
81,Datsun Redi Go,10-Jul-05,48679,1,PETROL,GJ-05,Manual,HatchBack,275000,,,,,,,,
82,Datsun Redi Go,10-Jul-05,15925,1,PETROL,DL-14,Manual,HatchBack,297000,,,,,,,,
83,Datsun Redi Go,13-Jul-05,24978,1,PETROL,KA-68,Manual,HatchBack,395000,,,,,,,,
84,Datsun Redi Go,10-Jul-05,44293,1,PETROL,DL-3C,Manual,HatchBack,243000,,,,,,,,
85,Datsun Redi Go,10-Jul-05,15598,1,PETROL,TN-42,Manual,HatchBack,342000,,,,,,,,
86,Datsun Redi Go,10-Jul-05,8790,1,PETROL,MH-01,Automatic,HatchBack,349000,,,,,,,,
87,Datsun Redi Go,09-Jul-05,51683,1,PETROL,TS-09,Manual,HatchBack,296000,,,,,,,,
88,Datsun Redi Go,10-Jul-05,58071,1,PETROL,TS-09,Automatic,HatchBack,306000,,,,,,,,
89,Datsun Redi Go,10-Jul-05,28733,1,PETROL,TN-09,Manual,HatchBack,320000,,,,,,,,
90,Datsun Redi Go,10-Jul-05,16647,1,PETROL,HR-50,Manual,HatchBack,208000,,,,,,,,
91,Datsun Redi Go,10-Jul-05,51607,2,PETROL,KA-02,Automatic,HatchBack,320000,,,,,,,,
92,Datsun Redi Go,10-Jul-05,10478,1,PETROL,DL-14,Manual,HatchBack,298000,,,,,,,,
93,Datsun Redi Go,10-Jul-05,7659,2,PETROL,DL-8C,Automatic,HatchBack,273000,,,,,,,,
94,Datsun Redi Go,11-Jul-05,72314,1,PETROL,TS-09,Automatic,HatchBack,345000,,,,,,,,
95,Datsun Redi Go,09-Jul-05,75817,1,PETROL,MH-46,Manual,HatchBack,228000,,,,,,,,
96,Datsun Redi Go,11-Jul-05,37238,1,PETROL,HR-12,Manual,HatchBack,323000,,,,,,,,
97,Datsun Redi Go,13-Jul-05,33730,1,PETROL,TS-32,Manual,HatchBack,499000,,,,,,,,
98,Datsun Redi Go,13-Jul-05,14135,1,PETROL,TN-05,Manual,HatchBack,426000,,,,,,,,
99,Datsun Redi Go,11-Jul-05,33520,1,PETROL,UP-62,Manual,HatchBack,285000,,,,,,,,
100,Datsun Redi Go,09-Jul-05,26603,1,PETROL,HR-51,Manual,HatchBack,191000,,,,,,,,
101,Datsun Redi Go,08-Jul-05,60297,2,PETROL,KA-09,Manual,HatchBack,264000,,,,,,,,
102,Datsun Redi Go,09-Jul-05,46031,1,PETROL,KA-05,Manual,HatchBack,283000,,,,,,,,
103,Datsun Redi Go,10-Jul-05,65548,1,PETROL,UP-16,Automatic,HatchBack,252000,,,,,,,,
104,Datsun Redi Go,10-Jul-05,11737,2,PETROL,KL-33,Automatic,HatchBack,353000,,,,,,,,
105,Datsun Redi Go,11-Jul-05,9368,1,PETROL,KA-50,Automatic,HatchBack,409000,,,,,,,,
106,Datsun Redi Go,12-Jul-05,19205,2,PETROL,TS-10,Manual,HatchBack,416000,,,,,,,,
107,Datsun Redi Go,12-Jul-05,22182,1,PETROL,UP-14,Automatic,HatchBack,390000,,,,,,,,
108,Datsun Redi Go,10-Jul-05,25775,2,PETROL,DL-8C,Manual,HatchBack,249000,,,,,,,,
109,Datsun Redi Go,09-Jul-05,9743,1,PETROL,UP-14,Manual,HatchBack,266000,,,,,,,,
110,Datsun Redi Go,13-Jul-05,7685,1,PETROL,HR-26,Manual,HatchBack,352000,,,,,,,,
111,Datsun Redi Go,10-Jul-05,11500,1,PETROL,MH-01,Manual,HatchBack,292000,,,,,,,,
112,Ford Ecosport,11-Jul-05,50078,1,PETROL,TN-19,Manual,SUV,836000,,,,,,,,
113,Ford Ecosport,11-Jul-05,64853,2,PETROL,KL-45,Manual,Sedan,338000,,,,,,,,
114,Ford Ecosport,09-Jul-05,71321,2,PETROL,HR-26,Manual,Sedan,701000,,,,,,,,
115,Ford Ecosport,11-Jul-05,41265,2,DIESEL,GJ-03,Manual,SUV,914000,,,,,,,,
116,Ford Ecosport,08-Jul-05,46706,1,PETROL,DL-2C,Manual,SUV,692000,,,,,,,,
117,Ford Ecosport,09-Jul-05,33921,1,PETROL,TN-12,Manual,SUV,722000,,,,,,,,
118,Ford Ecosport,09-Jul-05,33493,1,PETROL,KA-01,Automatic,SUV,777000,,,,,,,,
119,Ford Ecosport,08-Jul-05,67889,1,PETROL,KA-02,Automatic,SUV,755000,,,,,,,,
120,Ford Ecosport,10-Jul-05,37983,1,PETROL,KA-04,Manual,SUV,810000,,,,,,,,
121,Ford Ecosport,11-Jul-05,34446,2,PETROL,MH-02,Automatic,SUV,710000,,,,,,,,
122,Ford Ecosport,07-Jul-05,92975,1,PETROL,DL-10,Automatic,SUV,497000,,,,,,,,
123,Ford Ecosport,09-Jul-05,72091,2,PETROL,GJ-06,Manual,SUV,617000,,,,,,,,
124,Ford Ecosport,10-Jul-05,45730,1,DIESEL,DL-12,Manual,SUV,720000,,,,,,,,
125,Ford Ecosport,08-Jul-05,74717,1,PETROL,KL-22,Manual,SUV,522000,,,,,,,,
126,Ford Ecosport,08-Jul-05,18965,1,PETROL,KA-01,Automatic,SUV,777000,,,,,,,,
127,Ford Ecosport,10-Jul-05,80250,1,PETROL,HR-51,Automatic,SUV,699000,,,,,,,,
128,Ford Ecosport,09-Jul-05,51665,1,DIESEL,HR-34,Manual,SUV,625000,,,,,,,,
129,Ford Ecosport,11-Jul-05,22276,1,PETROL,MH-04,Manual,SUV,813000,,,,,,,,
130,Ford Ecosport,06-Jul-05,65171,1,PETROL,TN-01,Automatic,SUV,567000,,,,,,,,
131,Ford Ecosport,08-Jul-05,111487,1,DIESEL,RJ-14,Manual,SUV,537000,,,,,,,,
